id,description,nb
"5","Bonjour,
Notre voisin a construit il y a un an environ une palissage fixée sur un grillage mitoyen. Il est persuadé que le grillage lui appartient or, après avoir fait la recherche au cadastre, à l\'urbanisme de la ville et avec un notaire (qui a fait des recherches en remontant jusqu\'à 1914), il ressort que la clôture est mitoyenne, puisqu\'il n\'est stipulé nulle part qu\'elle appartient à l\'une ou l\'autre des propriétés. 
Nous souhaitons lui faire parvenir un courrier \""officiel\"" afin qu\'il se sente vraiment obligé de retirer sa construction qui de plus est bancale et menace de s\'écrouler chez nous.
Quel est le tarif pour ce type de prestation ?
Merci pour vorte retour
Cordialement
Florence A.
","1"
"9","Ceci est le deuxieme test","1"
"19","Petite copropriété du 92, Obtenir la nullité du règlement de copropriété de 1950 qui est en contradiction avec les articles 5 et 10 de la loi de 65.","2"
"25","Bonjour,
Je suis propriétaire d\'un appartement d\'un immeuble livré en 2008.
Fin 2010 mes voisins en dessous ont constaté des dégâts des eaux.
De nombreuses interventions d’expert ont eu lieu dans mon appartement. 
Or plus de 2 ans après le sinistre perdure, je ne peux plus supporter ces visites d’experts qui recommencent à chaque fois les mêmes choses sans daigner me communiquer leurs comptes-rendus malgré mes demandes répétées.
J’ai refusé récemment leur accès et le syndic m’a mis en demeure de donner accès, malgré tous ces historiques. Ai-je le droit de refuser l’accès ?
Je souhaite intenter une action contre l’assurance dommage ouvrage. A cause des malfaçons de l’immeuble, d’un sinistre qui ne me concerne absolument pas (mon appartement est en parfait état)  je demande réparation :
-	15.000 euros pour préjudices matériels (perte de revenus) : à chaque visite c’est une demi-journée de travail perdue pour moi (je vis seul et ne peux pas laisser mon appartement à n’importe qui). Hier (23/04) c’est 17 emails échangés à propos de ce sinistre, ma journée de travail était pourrie
-	30.000 euros pour préjudice morales : la relation avec les voisins devient invivable. J’ai reçu des menaces et injures d’une agressivité ahurissante.  J’ai des problèmes de surtension, cette situation conflictuelle doit cesser au plus tôt
-	1.000 euros de dédommagement pour chaque prochain dérangement
","1"
"26"," retraitée pétrole conflans st honorine. division d\'un terrain en vue d\'une construction risque majeur pour un arbre défini au plan local de l\'urbanisme comme element du patrimoine portant le no 338. classe en mairie.doit on faire opposition à la division plutôt qu\'au permis de construire besoin d\'une reponse rapide avant le 4 mai avant de m\'engager; c\'est la personne qui a achete le lot total qui divise et qui construit une maison  ( elle habite la maison déjà en place sur le terrain) le PLU a ete considerablement reduit dans notre quartier) la destruction de cet arbre est dramatique ...","1"
"30","Je travail dans le commerce, une boutique de produits cosmétique plus précisément.
Vendredi 26 Avril je reçois par email une convocation à un entretien préalable de licenciement. Malheuresement étant mal renseignée j\'ai signé le papier qui est \""remis en main propre contre décharge\"".Il est précisé dans ce document qu\'une mesure de licenciement est prévue à mon encontre, seulement il n\'est précisé nul part les raisons de ce licenciement.
A ce jour, je n\'ai reçu qu\'un seul avertissement de la part de mon employeur et à ma connaisance pour recevoir ce courrier il faut 3 avertissements.
Je voudrais donc savoir quel sont mes droits, et ce que je peux faire face à ce licenciement qui me parait injustifié.
Mon rendez-vous est prévu pour le 13 Mai","1"
"31","Bonjour Maître,
Je suis dans une procédure d’expulsion de mon logement (locataire), je suis passé au mois de Mars en Commission d’Expulsion, le Préfet a différé cette expulsion, je dois repasser en Commission au mois de Juin.
Je n’ai plus de Bail, pour une 1ère affaire de surendettement dont mes dettes ont été effacées.
Aujourd’hui, j’ai des retards de loyers à cause de mes arrêts maladies, j’ai un accord de paiement avec mon bailleur, et malgré cela je repasse au mois de Juin en Commission d’expulsion.
J’ai suis en train de faire une demande de FSL avec mon Assistante Sociale, et je voulais savoir si mon bailleur peut remplir sa partie et est-ce qu’il le droit de refuser.
Je vous prie de bien vouloir m’informer de mes droits, si je peux faire un recours auprès du Tribunal de Grandes Instances ou au Juge.
Merci de m’aider
Cordialement
","1"
"35","Bonjour, j\'aimerais avoir un devis pour entamer une procédure de divorce par consentement mutuel avec 2 avocats. On est d\'accord sur tout (garde enfant, logement, pension alimentaire ...). y a un enfant et pas de patrimoine.  
résidence ; Paris
Mon épouse a un avocat de son coté.
Cordialement, ","2"
"36","Je suis sépare de mon ex conjoint, nous avons en commun une propriété que nous avons acheté en 2008 . Depuis un an je paye seul les échéances de ce prêt . Mon ex conjoint ne veut pas vendre et n\'honore pas ses dettes. Je souhaite sortir de l\'indivision par une procédure judiciaire. Combien me coûterait un avocat ou la procédure ?","1"
"37","je vis a choisy le roi je viens sollicite votre votre aide pour un different avec adecco qui m a valu de perdre mon emploi cela fait cinq mois","1"
"39","licenciement économique abusif
","1"
"41","Je suis en litige avec mon employeur. Je souhaiterais connaître les honoraires pour une procédure devant les Prud\'hommes. 

D\'avance merci de votre réponse","1"
"44","cessation d,un fond commerce tabac presse loto a paris prix 400000euros","1"
"46","RECEPTION DU SI48 LE 03/05/2013
SALARIE
LES PRINCIPALES INFRACTIONS RELEVENT DE LA CONDUITE D\'UN SCOOTER (TROTTOIR SENS INTERDIT LIGNE MEDIANE)","1"
"48","Mon voisin construit une extension en limite de propriete. Profitant de notre depart en bretagne il a taille ma haie bien au dela de la limite de propriete. Il a arrache les piquets cimentes qui tenaient le grillage  et a couche le grillage sur la haie restante dans mon jardin. Ces explications sont claires \"" le grillage est mitoyen alors je fais ce que je veux et je le remettrais a la fin de la construction \"". Quels sont mes recours pour l obliger a remettre immediatement la cloture et respecter la limite de propriete. Merci","1"
"49","domicilié à créteil (94000), boulanger sur paris. Licenciement.","1"
"52","je suis dans le domaine de transport .  je suis salarie en cdi en temps plein  depuis 10/2011  .  j\'ai  crée ma propre  Sarl en 12/2012 .   j\'ai rependu a un appel d\'offre de la poste pour la messagerie la livraison des colis .    la direction et les responsables de l\'agence colis poste on admis ma candidature , mais mon employeur fait partis parmi les société qui aussi sous traite dans cette agence .   donc ce dernier  me menace car donc mon contrat Jai une close de non concurrence  en cas de rupture de contrat 
cette close n\'est pas codifier pas l\'aspect  financier ni indemnités .
j\'ai demander a mon patron de me licencier de manière conventionnel  , mais il veut pas   et aussi  veut pas payer mes conges payes 
 donc je sais pas quoi  faire exactement ;","2"
"53","litige  entre syndic  et,proprietaire","1"
"56"," Licenciement. 95880 enghiein les bains","1"
"57","bonjour,

Nous sommes propriétaires depuis 3 ans à Asnières sur seine d\'une petite maison en passant par un passage d\'un immeuble. nous avons l\'impression de payer des charges au sein du syndic des copropriétaires pas justifiées. nous avons besoin d\'éclaircissements","1"
"58","93340 le raincy retraité. Adoption simple","2"
"62","Probleme pour un AVP Accident voie publique causé par un tiers","1"
